seller_id,expected_deliver_diff_mean,expected_deliver_diff_count,order_shipped_days_mean,order_shipped_days_count
c7246702dc991a06d788120dc7544391,3,1,2,1
d297f1055de2956aedfd3b04113dce3e,3,1,2,1
d63f306de130e0391d38a792541723b8,3,1,2,1
dd4d95ba2d15c071e6c695e2ef6ce169,3,4,4,4
dda37071807e404c5bb2a1590c66326f,3,1,1,1
f783a638e9c6af4a7d0dbfde811e7a81,3,5,1.2,5
ede0c03645598cdfc63ca8237acbe73d,3.11627907,43,3.279069767,43
4ef4c39cf3c24f326434cf0b2e48046a,3.166666667,6,3.166666667,6
12c2ed9cded6138cf0c75f525f565fc7,3.25,4,3,4
f76a3b1349b6df1ee875d1f3fa4340f0,3.260869565,23,8.52173913,23
a49928bcdf77c55c6d6e05e09a9b4ca5,3.329787234,94,6.914893617,94
79a679c36c08d606b3fd47ead9de109b,3.333333333,3,5,3
821fb029fc6e495ca4f08a35d51e53a5,3.333333333,24,1.625,24
9539213aa8e023c01937bef95dc006da,3.333333333,9,7.222222222,9
a67780aba9dd436e7ac0aa1f889e73ec,3.333333333,6,7.166666667,6
09bad886111255c5b5030314fc7f1a4a,3.4,5,2.4,5
3a1a1fec38dd360f15fc912e821e169d,3.428571429,14,3.214285714,14
822bad9bc42b51213ba522fe87b7ab5d,3.444444444,18,5.222222222,18
d13e50eaa47b4cbe9eb81465865d8cfc,3.484848485,66,1.03030303,66
1fbe10c70e30765ed1de86d9f7e98409,3.5,2,2.5,2
4b98b0428fc1932cc2514ef9ce2505e6,3.5,2,1.5,2
528bcf6680c36dddf07620bd35b33a6f,3.5,2,4,2
ba6ce6de456f6c11d08c17701ba5c26f,3.5,6,5.833333333,6
20a8b0dc55da94fe74d112082427c84f,3.571428571,7,3.142857143,7
5a413ade68e8f8d93071a7f52a64cb9e,3.571428571,14,0.5,14
3d3ccf2b2f8134b10dce9dd446f0e075,3.666666667,3,2.333333333,3
8fbe2ee446b97e128471be4ce983dc0d,3.666666667,3,3,3
ab91571efab27993ff2f6b36e38055c3,3.666666667,3,8.333333333,3
d5b9a084373da994a6e37f732169a853,3.666666667,6,7.666666667,6
3fac58ce0ad699020c7944d53c41329c,3.75,8,2.375,8
74636e24f01da9268b0ed88dacd8513e,3.75,4,0.25,4
180c3376aff0e43dd5788709df48a843,3.8,5,3.6,5
46ef1a25845fc051c2998d878354810c,3.8,5,1.6,5
07a9bc7f61396b658ddf3ac534efe44c,4,1,1,1
0daf5180aa44356f60f8effa533b55a2,4,2,0.5,2
11742f81550ac064cc9a40f67151d9ad,4,2,3,2
15b3b1b81484422eb41df68ac87f1f50,4,1,6,1
26562f211dd1364af2a8596dc945e8ae,4,2,1,2
299c89a525fee36c567f4fe72f038100,4,1,0,1
32e5635e63cb374eb63afdd242fb6134,4,1,5,1
